S. No,Critical Sector Entity Name,Corresponding CSE Domain Name,Identified Phishing/Suspected Domain Name,Phishing/Suspected Domains (i.e. Class Label),Evidence file name,Source of detection,Simulated_URL,Levenshtein_Ratio,Length_Difference,Domain_Age_Days,URL_Length,Num_Slashes,Num_Underscores,Num_Question_Marks,Num_Equal_Signs,Special_Chars_Count,Path_Length,Has_Query,Num_Subdomains,Domain_Length,Num_Dots,Num_Hyphens,Label
11,Airtel,airtel.in,airtel365.com,Suspected,,,https://airtel365.com,0.8,3.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1
12,Airtel,airtel.in,airtel-merchants.site,Suspected,,,https://airtel-merchants.site,0.5454545454545454,10.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,1.0,1
13,Airtel,airtel.in,airtelmerchnat.in,Suspected,,,https://airtelmerchnat.in,0.6,8.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1
14,Airtel,airtel.in,airtel.club,Suspected,,,https://airtel.club,1.0,0.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1
15,Airtel,airtel.in,airtel121co.in,Suspected,,,https://airtel121co.in,0.7058823529411765,5.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1
16,Airtel,airtel.in,airtelfin.in,Suspected,,,https://airtelfin.in,0.8,3.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1
17,Airtel,airtel.in,airtelmerchants.in,Suspected,,,https://airtelmerchants.in,0.5714285714285714,9.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,1
18,Airtel,airtel.in,airtelwifi.in,Suspected,,,https://airtelwifi.in,0.75,4.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1
19,Airtel,airtel.in,airtel-5g.top,Suspected,,,https://airtel-5g.top,0.8,3.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,1
20,Airtel,airtel.in,airtele.xyz,Suspected,,,https://airtele.xyz,0.9230769230769231,1.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1
21,Airtel,airtel.in,airtelericsson.in,Suspected,,,https://airtelericsson.in,0.6,8.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1
22,Airtel,airtel.in,airtelrechargeplan.com,Suspected,,,https://airtelrechargeplan.com,0.5,12.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1
23,Airtel,airtel.in,airtelspacex.in,Suspected,,,https://airtelspacex.in,0.6666666666666666,6.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1
24,Airtel,airtel.in,airtel.cloud,Suspected,,,https://airtel.cloud,1.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1
25,Airtel,airtel.in,airtelrdc.shop,Suspected,,,https://airtelrdc.shop,0.8,3.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1
26,Airtel,airtel.in,airtelhd.biz,Suspected,,,https://airtelhd.biz,0.8571428571428571,2.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1
27,Airtel,airtel.in,airtelmerchnats.net,Suspected,,,https://airtelmerchnats.net,0.5714285714285714,9.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,1
28,Airtel,airtel.in,airteldataloan.in,Suspected,,,https://airteldataloan.in,0.6,8.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1
29,Airtel,airtel.in,airtel-merchants.shop,Suspected,,,https://airtel-merchants.shop,0.5454545454545454,10.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,1.0,1
30,Airtel,airtel.in,airtelpay.world,Phishing,,,https://airtelpay.world,0.8,3.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,2
31,Airtel,airtel.in,airtel-quickrecharge.world,Phishing,,,https://airtel-quickrecharge.world,0.46153846153846156,14.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,1.0,2
32,Airtel,airtel.in,airtelstream.in,Suspected,,,https://airtelstream.in,0.6666666666666666,6.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1
33,Airtel,airtel.in,bhartiairtelnet.in,Suspected,,,https://bhartiairtelnet.in,0.5714285714285714,9.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,1
34,Airtel,airtel.in,airtel121.in,Suspected,,,https://airtel121.in,0.8,3.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1
35,Airtel,airtel.in,airtel-merchant.co.in,Suspected,,,https://airtel-merchant.co.in,0.5714285714285714,9.0,14.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,2.0,1.0,1
36,Airtel,airtel.in,airtel-5g.net,Suspected,,,https://airtel-5g.net,0.8,3.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,1
37,Airtel,airtel.in,airtel-ug.info,Suspected,,,https://airtel-ug.info,0.8,3.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,1
38,Airtel,airtel.in,airteliqalerts.in,Suspected,,,https://airteliqalerts.in,0.6,8.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1
39,Airtel,airtel.in,airteliqmail.in,Suspected,,,https://airteliqmail.in,0.6666666666666666,6.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1
40,Airtel,airtel.in,airtelinfotel.in,Suspected,,,https://airtelinfotel.in,0.631578947368421,7.0,13.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1
41,Airtel,airtel.in,airtelretailer.in,Suspected,,,https://airtelretailer.in,0.6,8.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1
42,Airtel,airtel.in,airtel.org.in,Suspected,,,https://airtel.org.in,1.0,0.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,2.0,0.0,1
43,Airtel,airtel.in,bhartiairtel.live,Suspected,,,https://bhartiairtel.live,0.6666666666666666,6.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1
44,Airtel,airtel.in,bhartiairtel.online,Suspected,,,https://bhartiairtel.online,0.6666666666666666,6.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,1
45,Airtel,airtel.in,airtelconnect.com,Suspected,,,https://airtelconnect.com,0.631578947368421,7.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1
46,Airtel,airtel.in,airtelstore.co.in,Suspected,,,https://airtelstore.co.in,0.7058823529411765,5.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,2.0,0.0,1
47,Airtel,airtel.in,airteldtd.in,Suspected,,,https://airteldtd.in,0.8,3.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1
48,Airtel,airtel.in,airtel.website,Suspected,,,https://airtel.website,1.0,0.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1
49,Airtel,airtel.in,airtelprize.in,Suspected,,,https://airtelprize.in,0.7058823529411765,5.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1
50,Airtel,airtel.in,airtelapp.xyz,Suspected,,,https://airtelapp.xyz,0.8,3.0,13.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1
51,Airtel,airtel.in,airtelcare.net,Suspected,,,https://airtelcare.net,0.75,4.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1
52,Airtel,airtel.in,airtel-merchants.net,Suspected,,,https://airtel-merchants.net,0.5454545454545454,10.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,1
53,Airtel,airtel.in,postpaidairtel.in,Suspected,,,https://postpaidairtel.in,0.6,8.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1
54,Airtel,airtel.in,airtel.exchange,Suspected,,,https://airtel.exchange,1.0,0.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1
55,Airtel,airtel.in,airtelpayment.online,Suspected,,,https://airtelpayment.online,0.631578947368421,7.0,15.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,1
56,Airtel,airtel.in,airtel-5gg.top,Suspected,,,https://airtel-5gg.top,0.75,4.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,1
57,Airtel,airtel.in,airtelmerchnat.co.in,Suspected,,,https://airtelmerchnat.co.in,0.6,8.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,1
58,Airtel,airtel.in,airtel-ericsson.com,Suspected,,,https://airtel-ericsson.com,0.5714285714285714,9.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,1
59,Airtel,airtel.in,airtel-broadband-plans.today,Suspected,,,https://airtel-broadband-plans.today,0.42857142857142855,16.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,2.0,1
60,Airtel,airtel.in,airtel-broadband-plans-near-you.sbs,Suspected,,,https://airtel-broadband-plans-near-you.sbs,0.32432432432432434,25.0,10.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,4.0,1
61,Airtel,airtel.in,airtelstarlink.org,Suspected,,,https://airtelstarlink.org,0.6,8.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,1
62,Airtel,airtel.in,airtelstarlinks.in,Suspected,,,https://airtelstarlinks.in,0.5714285714285714,9.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,1
63,Airtel,airtel.in,airtellink.com,Suspected,,,https://airtellink.com,0.75,4.0,13.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1
64,Airtel,airtel.in,airtel.firm.in,Suspected,,,https://airtel.firm.in,1.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,2.0,0.0,1
65,Airtel,airtel.in,airtelfiber.in,Suspected,,,https://airtelfiber.in,0.7058823529411765,5.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1
66,Airtel,airtel.in,airtelxtream.co.in,Suspected,,,https://airtelxtream.co.in,0.6666666666666666,6.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,2.0,0.0,1
67,Airtel,airtel.in,bhartairtel.co.in,Suspected,,,https://bhartairtel.co.in,0.7058823529411765,5.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,2.0,0.0,1
68,Airtel,airtel.in,airtelairfiber.in,Suspected,,,https://airtelairfiber.in,0.6,8.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1
69,Airtel,airtel.in,airtelxtreamonline.in,Suspected,,,https://airtelxtreamonline.in,0.5,12.0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,1
70,Airtel,airtel.in,bhartiairtelfoundation.co.in,Suspected,,,https://bhartiairtelfoundation.co.in,0.42857142857142855,16.0,15.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,1
71,Airtel,airtel.in,airtelvb.top,Suspected,,,https://airtelvb.top,0.8571428571428571,2.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1
72,Airtel,airtel.in,airtelonebroadband.top,Suspected,,,https://airtelonebroadband.top,0.5,12.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1
73,Airtel,airtel.in,airtel-merchants.services,Suspected,,,https://airtel-merchants.services,0.5454545454545454,10.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,1
74,Bank of Baroda,bankofbaroda.in,bankofbarodabank.in,Suspected,,,https://bankofbarodabank.in,0.8571428571428571,4.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,1
75,Bank of Baroda,bankofbaroda.in,bankofbarodafin.in,Suspected,,,https://bankofbarodafin.in,0.8888888888888888,3.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,1
76,Bank of Baroda,bankofbaroda.in,bankofbarodaworld.co.in,Suspected,,,https://bankofbarodaworld.co.in,0.8275862068965517,5.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,0.0,1
77,Bank of Baroda,bankofbaroda.in,1bankofbaroda.co.in,Suspected,,,https://1bankofbaroda.co.in,0.96,1.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,2.0,0.0,1
78,Bank of Baroda,bankofbaroda.in,thebankofbaroda.in,Suspected,,,https://thebankofbaroda.in,0.8888888888888888,3.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,1
79,Bank of Baroda,bankofbaroda.in,bankofbarodaa.co.in,Suspected,,,https://bankofbarodaa.co.in,0.96,1.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,2.0,0.0,1
80,Bank of Baroda,bankofbaroda.in,bankofbaroda0.co.in,Suspected,,,https://bankofbaroda0.co.in,0.96,1.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,2.0,0.0,1
81,Bank of Baroda,bankofbaroda.in,bankofbarodarewa.co.in,Suspected,,,https://bankofbarodarewa.co.in,0.8571428571428571,4.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,0.0,1
82,"Civil Registration System, MHA",dc.crsorgi.gov.in,dc-crsorgi-gov.site,Phishing,dc-crsorgi-gov.site.pdf,,https://dc-crsorgi-gov.site,0.25,12.0,14.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,2.0,2
83,"Civil Registration System, MHA",dc.crsorgi.gov.in,crsverifycertificate.in,Phishing,crsverifycertificate.in.pdf,,https://crsverifycertificate.in,0.09090909090909091,18.0,8.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,2
84,"Civil Registration System, MHA",dc.crsorgi.gov.in,dc.crsorge.in,Phishing,dc.crsorge.in.pdf,,https://dc.crsorge.in,1.0,0.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,2.0,0.0,2
85,"Civil Registration System, MHA",dc.crsorgi.gov.in,dc.crsorgi.gov.in.crs.vievvcert.info,Phishing,dc.crsorgi.gov.in.crs.vievvcert.info.pdf,,https://dc.crsorgi.gov.in.crs.vievvcert.info,1.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0,6.0,0.0,2
86,"Civil Registration System, MHA",dc.crsorgi.gov.in,crsor-go.shop,Phishing,crsor-go.shop.pdf,,https://crsor-go.shop,0.2,6.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,2
87,"Civil Registration System, MHA",dc.crsorgi.gov.in,crsorgi-gov.xyz,Phishing,crsorgi-gov.xyz.pdf,,https://crsorgi-gov.xyz,0.15384615384615385,9.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,2
88,"Civil Registration System, MHA",dc.crsorgi.gov.in,janma-mrityutathya.shop,Phishing,janma-mrityutathya.shop.pdf,,https://janma-mrityutathya.shop,0.0,16.0,15.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,2
89,"Civil Registration System, MHA",dc.crsorgi.gov.in,csrorgi-gov.shop,Phishing,csrorgi-gov.shop.pdf,,https://csrorgi-gov.shop,0.15384615384615385,9.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,2
90,"Civil Registration System, MHA",dc.crsorgi.gov.in,www.dc.crsorgi.gov.in.verifycertificate.shop,Phishing,www.dc.crsorgi.gov.in.verifycertificate.shop.pdf,,https://www.dc.crsorgi.gov.in.verifycertificate.shop,0.0,1.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,44.0,6.0,0.0,2
91,"Civil Registration System, MHA",dc.crsorgi.gov.in,www.dc.crsorgi.gov.in.web.index.php.apnaqafila.shop,Phishing,www.dc.crsorgi.gov.in.web.index.php.apnaqafila.shop.pdf,,https://www.dc.crsorgi.gov.in.web.index.php.apnaqafila.shop,0.0,1.0,13.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,51.0,9.0,0.0,2
92,"Civil Registration System, MHA",dc.crsorgi.gov.in,www.acadmey.mange.project.indaxs.in,Phishing,www.acadmey.mange.project.indaxs.in.pdf,,https://www.acadmey.mange.project.indaxs.in,0.0,1.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,5.0,0.0,2
93,"Civil Registration System, MHA",dc.crsorgi.gov.in,birth.giantechnical.in,Phishing,birth.giantechnical.in.pdf,,https://birth.giantechnical.in,0.0,3.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,0.0,2
94,"Civil Registration System, MHA",dc.crsorgi.gov.in,verificagovv.xyz,Phishing,verificagovv.xyz.pdf,,https://verificagovv.xyz,0.14285714285714285,10.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,2
95,"Civil Registration System, MHA",dc.crsorgi.gov.in,www.service.findapi.info,Phishing,www.service.findapi.info.pdf,,https://www.service.findapi.info,0.0,1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,3.0,0.0,2
96,"Civil Registration System, MHA",dc.crsorgi.gov.in,error404.remgoerrocount.xyz,Phishing,error404.remgoerrocount.xyz.pdf,,https://error404.remgoerrocount.xyz,0.0,6.0,9.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,2.0,0.0,2
97,"Civil Registration System, MHA",dc.crsorgi.gov.in,dc.crsorgi.gov.in.verifyc.xyz,Phishing,dc.crsorgi.gov.in.verifyc.xyz.pdf,,https://dc.crsorgi.gov.in.verifyc.xyz,1.0,0.0,7.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,5.0,0.0,2
98,"Civil Registration System, MHA",dc.crsorgi.gov.in,onlineservice.shop,Phishing,onlineservice.shop.pdf,,https://onlineservice.shop,0.13333333333333333,11.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,2
99,"Civil Registration System, MHA",dc.crsorgi.gov.in,dc.crsorgi.govi.ltd,Phishing,dc.crsorgi.govi.ltd.pdf,,https://dc.crsorgi.govi.ltd,1.0,0.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,3.0,0.0,2
100,"Civil Registration System, MHA",dc.crsorgi.gov.in,my.babaprint1.xyz,Phishing,my.babaprint1.xyz.pdf,,https://my.babaprint1.xyz,0.0,0.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,2.0,0.0,2
101,"Civil Registration System, MHA",dc.crsorgi.gov.in,dc.crsorgi.gov.in.webi.ltd,Phishing,dc.crsorgi.gov.in.webi.ltd.pdf,,https://dc.crsorgi.gov.in.webi.ltd,1.0,0.0,12.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,5.0,0.0,2
102,"Civil Registration System, MHA",dc.crsorgi.gov.in,dc.crsorgi.gov.in.index-view.shop,Phishing,dc.crsorgi.gov.in.index-view.shop.pdf,,https://dc.crsorgi.gov.in.index-view.shop,1.0,0.0,12.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,5.0,1.0,2
103,"Civil Registration System, MHA",dc.crsorgi.gov.in,dc.crsorgi.gov.in.tech-site.info,Phishing,dc.crsorgi.gov.in.tech-site.info.pdf,,https://dc.crsorgi.gov.in.tech-site.info,1.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,5.0,1.0,2
104,"Civil Registration System, MHA",dc.crsorgi.gov.in,dc.pgoneindia.shop,Phishing,dc.pgoneindia.shop.pdf,,https://dc.pgoneindia.shop,1.0,0.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,2.0,0.0,2
105,"Civil Registration System, MHA",dc.crsorgi.gov.in,crsorgi.gov.in.verifycertificate.shop,Phishing,crsorgi.gov.in.verifycertificate.shop.pdf,,https://crsorgi.gov.in.verifycertificate.shop,0.2222222222222222,5.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,4.0,0.0,2
106,"Civil Registration System, MHA",dc.crsorgi.gov.in,dc.crsorgi.gov.in.adverify.in,Phishing,dc.crsorgi.gov.in.adverify.in.pdf,,https://dc.crsorgi.gov.in.adverify.in,1.0,0.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,5.0,0.0,2
107,"Civil Registration System, MHA",dc.crsorgi.gov.in,dcrsorgi.store,Phishing,dcrsorgi.store.pdf,,https://dcrsorgi.store,0.4,6.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,2
108,"Civil Registration System, MHA",dc.crsorgi.gov.in,dc.birth.dccrsorgi-govv.live,Phishing,dc.birth.dccrsorgi-govv.live.pdf,,https://dc.birth.dccrsorgi-govv.live,1.0,0.0,11.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,3.0,1.0,2
109,"Civil Registration System, MHA",dc.crsorgi.gov.in,dc.crsorgi.gov.in.viewcard.in,Phishing,dc.crsorgi.gov.in.viewcard.in.pdf,,https://dc.crsorgi.gov.in.viewcard.in,1.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,5.0,0.0,2
110,"Civil Registration System, MHA",dc.crsorgi.gov.in,verifycertificate.cloud,Phishing,verifycertificate.cloud.pdf,,https://verifycertificate.cloud,0.10526315789473684,15.0,8.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,2
111,"Civil Registration System, MHA",dc.crsorgi.gov.in,crsorginewindex.store,Suspected,,,https://crsorginewindex.store,0.11764705882352941,13.0,12.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,1
